Timestamp,X,Y
2024-09-07 21:59:30.057,758,573
2024-09-07 21:59:30.063,761,563
2024-09-07 21:59:30.073,763,555
2024-09-07 21:59:30.080,764,546
2024-09-07 21:59:30.089,766,538
2024-09-07 21:59:30.096,767,532
2024-09-07 21:59:30.105,768,525
2024-09-07 21:59:30.112,769,518
2024-09-07 21:59:30.120,769,513
2024-09-07 21:59:30.128,771,508
2024-09-07 21:59:30.137,772,503
2024-09-07 21:59:30.144,772,500
2024-09-07 21:59:30.152,772,496
2024-09-07 21:59:30.177,772,493
2024-09-07 21:59:30.200,772,491
2024-09-07 21:59:30.216,772,488
2024-09-07 21:59:30.224,772,486
2024-09-07 21:59:30.232,772,483
2024-09-07 21:59:30.241,772,481
2024-09-07 21:59:30.248,772,478
2024-09-07 21:59:30.256,772,475
2024-09-07 21:59:30.264,772,471
2024-09-07 21:59:30.273,772,467
2024-09-07 21:59:30.279,772,462
2024-09-07 21:59:30.289,772,457
2024-09-07 21:59:30.296,772,452
2024-09-07 21:59:30.304,772,448
2024-09-07 21:59:30.312,772,445
2024-09-07 21:59:30.320,772,440
2024-09-07 21:59:30.328,772,433
2024-09-07 21:59:30.337,772,428
2024-09-07 21:59:30.344,772,425
2024-09-07 21:59:30.353,770,420
2024-09-07 21:59:30.361,770,415
2024-09-07 21:59:30.369,770,411
2024-09-07 21:59:30.376,770,408
2024-09-07 21:59:30.385,768,405
2024-09-07 21:59:30.393,768,401
2024-09-07 21:59:30.401,768,398
2024-09-07 21:59:30.408,765,396
2024-09-07 21:59:30.432,765,393
2024-09-07 21:59:30.680,765,394
2024-09-07 21:59:30.689,767,400
2024-09-07 21:59:30.696,772,409
2024-09-07 21:59:30.705,776,415
2024-09-07 21:59:30.712,778,420
2024-09-07 21:59:30.721,779,424
2024-09-07 21:59:54.985,779,422
2024-09-07 21:59:54.992,779,417
2024-09-07 21:59:55.001,778,410
2024-09-07 21:59:55.009,778,400
2024-09-07 21:59:55.017,778,387
2024-09-07 21:59:55.025,778,372
2024-09-07 21:59:55.032,771,356
2024-09-07 21:59:55.041,765,340
2024-09-07 21:59:55.047,755,322
2024-09-07 21:59:55.057,745,306
2024-09-07 21:59:55.064,735,291
2024-09-07 21:59:55.072,729,281
2024-09-07 21:59:55.111,728,277
2024-09-07 21:59:55.128,736,283
2024-09-07 21:59:55.137,749,296
2024-09-07 21:59:55.144,767,319
2024-09-07 21:59:55.153,789,350
2024-09-07 21:59:55.160,814,389
2024-09-07 21:59:55.169,838,430
